"","x"
"10508","LIFELINE AMBULANCE SERVICE INC"
"10509","LIFELINE MEDICAL CORP."
"10510","LIFELINE MEDICAL SUPPLY"
"10511","LIFELINE PHYSICAL THERAPY PLLC"
"10512","LIFELINE PSYCHOLOGICAL, P.C."
"10513","LIFELONG MEDICAL, P.C."
"10514","LIFES BOUNTY MEDICAL CARE P C"
"10515","LIFESAVER MEDICAL SUPPLIES"
"10516","LIFESKILLS PHYSICAL THERAPY PLLC"
"10517","LIFESOURCE CHIROPRACTIC P.C"
"10518","LIFESTEPS OB/GYN HEALTHCARE FOR WOMEN,LLP"
"10519","LIFESTYLE MEDICAL PC"
"10520","LIFESTYLE REHAB PT PC"
"10521","LIFESTYLE SOLUTIONS, INC."
"10522","LIFESTYLES FOR THE DISABLED, INC."
"10523","LIFETIME PODIATRY, P.C."
"10524","LIFEWAYS NUTRITION, PLLC"
"10525","LIFEX MEDICAL, P.C."
"10526","LIFTVEST USA LLC"
"10527","LIGHT & LOVE HOME"
"10528","LIGHT 101, INC"
"10529","LIGHT 101, INC."
"10530","LIGHT PHARMACY INC"
"10531","LIGHT SURGICAL SUPPLY, INC."
"10532","LIGHT TOUCH DENTAL PC"
"10533","LIGHTHOUSE DERMATOLOGY, P.C."
"10534","LIGHTHOUSE HEALTHCARE MANAGEMENT NORTH LLC"
"10535","LIGHTHOUSE HEALTHCARE MANAGEMENT SOUTH LLC"
"10536","LIGHTHOUSE HOME SERVICES"
"10537","LIGUORI & GOLDSTEIN MDS PC"
"10538","LIH LIH WU MEDICAL P.C."
"10539","LIL D DISPATCH INC."
"10540","LIL'D DISPATCH INC."
"10541","LILA MEDICAL SUPPLIES"
"10542","LILLIAN KELNER DDS PC"
"10543","LILLIAN TALIAFERRO-BEST"
"10544","LILY W ENG OLIVER, DDS, PLLC"
"10545","LIM H.TSE,M.D.,P.C."
"10546","LIMA CONSULTING INC"
"10547","LIMAGE OPTICAL"
"10548","LIMO SEVEN TRANSPORTATION"
"10549","LINCOLN CARE DRUGS INC"
"10550","LINCOLN DIAGNOSTICS LLC"
"10551","LINCOLN DRUGS INC"
"10552","LINCOLN MEDICAL & MENTAL HEALTH"
"10553","LINCOLN MEDICAL AN MENTAL HEALTH CENTER"
"10554","LINCOLN MEDICAL AND MENTAL CENTER"
"10555","LINCOLN MEDICAL AND MENTAL HEALTH"
"10556","LINCOLN MEDICAL AND MENTAL HEALTH CANTER"
"10557","LINCOLN MEDICAL AND MENTAL HEALTH CENTRE"
"10558","LINCOLN MEDICAL AND MENTAL HEALTHCARE"
"10559","LINCOLN MEDICAL AND MENTAL HEATH CENTER"
"10560","LINCOLN MEDICAL MENTAL HEALTH CENTER"
"10561","LINCOLN MENTAL HEALTH AND MEDICAL CENTER"
"10562","LINCOLN NEIGHBORHOOD PHARMACY INC"
"10563","LINCOLN PHARMA INC"
"10564","LINCOLN PHARMACY INC"
"10565","LINCOLN PLACE PHARMACY INC"
"10566","LINCON HOSPITAL"
"10567","LINDA DEPT STORE INC"
"10568","LINDA L TAO MD PC"
"10569","LINDA PODIATRY PC"
"10570","LINDA S PACKER CSW PC"
"10571","LINDA S. NAGEL, PH.D., P.C."
"10572","LINDA SABELLICO P.T. PLLC"
"10573","LINDEN CHILDREN SERVICES"
"10574","LINDEN EYE CARE"
"10575","LINDEN EYE CARE, INC"
"10576","LINDEN FAMILY MEDICAL CARE PC"
"10577","LINDEN HOUSE COMMUNITY RESIDENCE"
"10578","LINDEN PHARMA INC"
"10579","LINDEN PSYCHOLOGICAL SERVICES PLLC"
"10580","LINDEN RX INC"
"10581","LINDENWOOD HEALTH MEDICAL PC"
"10582","LINDENWOOD LTC, INC."
"10583","LINDENWOOD MEDICAL PC"
"10584","LINDENWOOD RX CENTER, INC."
"10585","LINDER CHIROPRACTIC, PC"
"10586","LINE TRANSPORTATION INC"
"10587","LING O. CHENG, M.D., P.C."
"10588","LINKS TO LANGUAGE SLP PC"
"10589","LINKUS PHARMACY INC."
"10590","LINLI YAN-ROSENBERG, PHYSICIAN, P.C."
"10591","LINNAR ORTALAN, LCSW, PC"
"10592","LINUS YOE, M.D., P.C."
"10593","LIONDALE MANAGEMENT INC"
"10594","LIONEL AND MARIE EDITH F LEFEVRE PHYSICIANS P.C."
"10595","LIONEL G. HAUSMAN, D.P.M."
"10596","LIONEL GROSSBARD MD PC"
"10597","LIONS ROAR MANAGEMENT"
"10598","LIPNER & WEISFUSE DENTISTRY PC"
"10599","LIPTON EYECARE"
"10600","LIS SMILE DENTAL OFFICE PC"
"10601","LISA ANN LIBERATORE, MD, PC"
"10602","LISA C FISHMAN MD PLLC"
"10603","LISA FLETCHER-SMITH INC"
"10604","LISA KIU LAW, M.D., PLLC"
"10605","LISA KLEIN"
"10606","LISA LERNER, LCSW"
"10607","LISA LISA INC."
"10608","LISA M BARTOLI DO, PLLC"
"10609","LISA M JOHNSON M.D."
"10610","LISA MENNELLA CORP"
"10611","LISA MOSKOVITZ NUTRITION P.L.L.C."
"10612","LISA PARK, M.D. PLLC"
"10613","LISA PRIMICH PHYSICAL THERAPY PC"
"10614","LISA R. CALLAHAN, M.D."
"10615","LISA ROBATEAU & ASSOCIATES LLC"
"10616","LISAN MEDICAL SUPPLIES, INC"
"10617","LISCIO PHARMA INC"
"10618","LIST DRUGS INC."
"10619","LISTEN HEAR DIAGNOSTICS, PLLC"
"10620","LISTENING CAREFULLY INDIVIDUAL & FAMILY COUNSELING SERVICES"
"10621","LITTLE ANGELS NY INC"
"10622","LITTLE DREAMERS CORPORATION"
"10623","LITTLE FEAT OCCUPATIONAL THERAPY P.C"
"10624","LITTLE FEAT OCCUPATIONAL THERAPY P.C."
"10625","LITTLE GELT PHARMACY"
"10626","LITTLE L.A.M.B. PRESCHOOL"
"10627","LITTLE MUNCHKINS PLAYGROUP 56"
"10628","LITTLE SCHOLARS EARLY INTERVENTION INC."
"10629","LITTLE SISTERS OF THE ASSUMPTION"
"10630","LITTLE SISTERS OF THE ASSUMPTION FAMILY HEALTH SERVICE INC"
"10631","LITTLE STEPS SPEECH AND LANGUAGE STUDIO LLC"
"10632","LITTLE WONDERS THERAPEUTIC SERVICES, OT, P.C."
"10633","LITVINOV DENTAL PC"
"10634","LITVINOVA MEDICAL PC"
"10635","LIVE CHIROPRACTIC, P.C."
"10636","LIVE WELL COUNSELING LLC"
"10637","LIVE WELL DENTAL SERVICES PLLC"
"10638","LIVE WISE NUTRITION PLLC"
"10639","LIVEONNY INC"
"10640","LIVI'S LINGERIE"
"10641","LIVICA PHYSICAL THERAPY P.C."
"10642","LIVING WATERS HOME CARE"
"10643","LIVING WELL MEDICAL, PC"
"10644","LIVING WELL NEW YORK MEDICAL P.C."
"10645","LIVING WELL PHARMACY INC"
"10646","LIVING WORD MINISTRIES INC DBA NYCCC"
"10647","LIVING-AT-HOME MEDICAL, PC"
"10648","LIVINGSTON DENTAL CARE PC"
"10649","LIVINGWORD PHARMACY INC"
"10650","LIVONIA PHARMACY INC"
"10651","LIZZET I GARCIA MD PLLC"
"10652","LJ PROFESSIONAL DENTAL PC"
"10653","LJAZ INC"
"10654","LK ADVANCED DENTISTRY"
"10655","LK CHIROPRACTIC PC"
"10656","LK DABIRI MEDICAL PC"
"10657","LK HEALTCARE INC"
"10658","LLEWELLYN HYACINTHE MD PC"
"10659","LLJSOLUTIONS INC"
"10660","LLM DENTAL ASSOCIATES, PC"
"10661","LLOY E ANDERSON MD, PA"
"10662","LLOYD B GAYLE MD PC"
"10663","LLOYD HOFFMAN MD, P.C."
"10664","LLOYD M. LOFT MD PC"
"10665","LLOYD R DROPKIN MD PC"
"10666","LM BILINGUAL SPEECH PATHOLOGY SERVICES, P.C."
"10667","LM MEDICAL PLLC"
"10668","LM PSYCHIATRIC SERVICES"
"10669","LMI CONSULTING SOLUTIONS, INC"
"10670","LMJ VISION, INC."
"10671","LMSW QUEENS THERAPY PC"
"10672","LOCUM PHYSICIAN P.C."
"10673","LOGY HEALTHCARE PT PC"
"10674","LOIS NACHAMIE"
"10675","LOISAIDA RX INC"
"10676","LOMBARDO OPHTHALMOLOGY OF BAY RIDGE, P.C."
"10677","LON WEINER MD PC"
"10678","LONDON HEALING CENTER LLC."
"10679","LONDON MEDICAL DIAGNOSTIC PC"
"10680","LONG ISLAND COLLEGE HOSPITAL UROLOGY ASSOCIATES AT LICH"
"10681","LONG ISLAND DENTIST, PC"
"10682","LONG ISLAND PROMPT CARE INC"
"10683","LONG ISLAND VISION OPTOMETRY PC"
"10684","LONG LIFE PHARMACY INC."
"10685","LONG SU, DDS, PC"
"10686","LONG'S MEDICAL REHAB, P.C."
"10687","LONGEVITY ADULT DAY CARE CENTER LLC"
"10688","LONGEVITY FI LLC"
"10689","LONGEVITY MEDICAL ARTS, PLLC"
"10690","LONGEVITY PHARMACY LLC"
"10691","LONGWOOD RUG & SURGICAL INC"
"10692","LOOK AT US NOW OPTICAL, CORP"
"10693","LOOK WHAT I CAN DO LLC"
"10694","LOOK WHO IS TALKING, SLP, PC"
"10695","LOOKING FORWARD NY INC"
"10696","LOOKS"
"10697","LOPEZ PHYSICAL MEDICINE CONSULTANCY, PLLC"
"10698","LOR MEDICAL PC"
"10699","LORDS VALLEY DENTAL CARE PC"
"10700","LOREN M DOBBS PSYCHOLOGICAL SERVICES P C"
"10701","LORENA GRULLON-FIGUEROA MD, PLLC"
"10702","LORETTA SCOTT INC"
"10703","LORI GOLDEN MA-CCC, SLP & ROBIN BUMP, PT PLLC"
"10704","LORI-ANN PALAZZO MHC PC"
"10705","LORING MEDICAL PC"
"10706","LOROX SERVICES LLC"
"10707","LORVEN PHARMACY LLC"
"10708","LOS NINOS EARLY CHILDHOOD SERVICES LLC"
"10709","LOTT ASSISTED LIVING RESIDENCE"
"10710","LOTT COMMUNITY HOME HEALTH CARE INC."
"10711","LOTUS MEDICAL PLLC"
"10712","LOUIS B. GENNARELLI, MD, PC"
"10713","LOUIS D. JABLIN DPM"
"10714","LOUIS DALAVERIS, M.D., P.C."
"10715","LOUIS I SOBEL MD PC"
"10716","LOUIS MALETZ MD PC"
"10717","LOUIS P STERLING DDS PC"
"10718","LOUIS PHARMACY INC."
"10719","LOUIS W JACOBS DPM, PC"
"10720","LOUISA J STEINBERG MD"
"10721","LOUISE LEVY AUDIOLOGY, P.C."
"10722","LOVE AND JOY SENIOR DAY CARE"
"10723","LOVE CHILD, LCSW P.C"
"10724","LOVE TO CARE HOME CARE, INC."
"10725","LOVECAREHEALTH.COM INC"
"10726","LOVEJOY SENIOR DAYCARE CENTER, INC."
"10727","LOVINA MEDICAL PC"
"10728","LOVING ADULT DAY CARE"
"10729","LOVING ARMS NURSING SERVICE"
"10730","LOVING HOME CARE"
"10731","LOVING PHARMACY INC"
"10732","LOVING TOUCH ADULT DAYCARE CENTER"
"10733","LOW TOUCH LUXURY INC"
"10734","LOW VISION ASSOCIATES, INC."
"10735","LOWER EAST SIDE FAMILY MEDICINE PLLC"
"10736","LOWER EAST SIDE FAMILY UNION"
"10737","LOWER EASTSIDE SERVICE CENTER"
"10738","LOWER EASTSIDE SERVICE CENTER, INC."
"10739","LOWER MANHATTAN DIALYSIS CENTER"
"10740","LOWER MANHATTAN GASTROENTEROLOGY GROUP, P.C."
"10741","LOWER MANHATTAN IN-HOME CARE, INC."
"10742","LOWER MANHATTAN MEDICAL ASSOCIATES, PC"
"10743","LOWER MANHATTAN ORTHOPAEDIC ASSOCIATES, PC"
"10744","LOWER MANHATTAN PHYSICAL THERAPY"
"10745","LOWER MANHATTAN PHYSICAL THERAPY & SPORTS REHAB"
"10746","LOWER MANHATTAN PHYSICAL THERAPY & SPORTS REHAB, P.C."
"10747","LOWER MANHATTAN PHYSICAL THERAPY & SPORTS REHAB., P.C."
"10748","LOWER WEST SIDE HOUSEHOLD SERVICES"
"10749","LOYALTY PHYSICAL THERAPY PT PC"
"10750","LP VALBRUN MEDICAL AND PSYCHIATRIC SERVICES PC"
"10751","LR MEDICAL PLLC"
"10752","LS DRUGS, LLC"
"10753","LS MEDICAL SUPPLY INC"
"10754","LSA"
"10755","LSA RECOVERY INC"
"10756","LSA RECOVERY,INC"
"10757","LSLAT INC"
"10758","LSM DURABLE MEDICAL EQUIPMENT LLC"
"10759","LST MEDICAL PC"
"10760","LSV SERVICES INC"
"10761","LT PHYSICAL THERPY PC"
"10762","LU'S MEDICAL ASSOCIATE, PLLC"
"10763","LUBA V. GRINGUT MEDICAL P.C."
"10764","LUCIA FALCONE HOLISTIC MENTAL HEALTH COUNSELING SPP"
"10765","LUCIEN M CESIANO MD PC"
"10766","LUCKNER LOGISTICS"
"10767","LUCKY ADULT DAY CARE CENTER LLC"
"10768","LUCKY EXPRESS CORP."
"10769","LUCKY HEALTH PHARMACY INC."
"10770","LUDMILLA BRONFIN MD LLC"
"10771","LUDWIG KLEIN MD PC"
"10772","LUDWIG M LICCIARDI MD PC"
"10773","LUIS C NINA-ORTEGA MD MPH FAAP PC"
"10774","LUIS D. CASTRO"
"10775","LUIS E GUERRERO, MD, PC"
"10776","LUIS F STILLER MD PC"
"10777","LUIS G. MIRANDA, M.D., P.C."
"10778","LUIS MENDEZ CASTELLANOS MD PC"
"10779","LUKIN CENTER FOR PSYCHOTHERAPY AND ADVANCEMENT PC"
"10780","LULU'S SOCIAL ADULT DAYCARE LLC"
"10781","LUMA DENTAL PC"
"10782","LUMIT RX INC"
"10783","LUNA PARK PHARMACY INC"
"10784","LUNG AND SLEEP MEDICINE P.C."
"10785","LUTHERAN AUGUSTANA CENTER FOR EXTENDED CARE AND REHABILITATION"
"10786","LUTHERAN CHHA"
"10787","LUTHERAN HOSPTAL"
"10788","LUTHERAN MEDICAL CARE PLLC"
"10789","LUTHERAN MEDICAL CENTER-NES"
"10790","LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK"
"10791","LUTHERAN SOCIAL SERVICES OF NEW YORK"
"10792","LUVR DIAGNOSTIC SERVICES INC"
"10793","LUX WORKS GROUP, LLC"
"10794","LUXEYE MOTT LLC"
"10795","LUXEYE OPTICS"
"10796","LUXEYE OPTICS INC."
"10797","LUXEYE VISION CORP."
"10798","LUXURY DENTAL P.C."
"10799","LV MEDICAL PC"
"10800","LWHMEDICAL PC"
"10801","LWR LLC"
"10802","LY ADULT CARE CENTER INC"
"10803","LYDIA RABINOWICH MD PC"
"10804","LYDIG AVENUE PHARMACY CORP"
"10805","LYDIG AVENUE PHARMACY CORP."
"10806","LYDIG DENTAL"
"10807","LYDIG OPTICAL LAB"
"10808","LYDIG PEDIATRICS PC"
"10809","LYMPHEDEMA ALLIANCE OF NEW YORK"
"10810","LYMPHEDEMA MANAGEMENT ASSOCIATES INC"
"10811","LYNN BASSINI CERTIFIED HAND THERAPY OT, P.C."
"10812","LYNN C KASE"
"10813","LYNN H. RATNER, M.D. PLLC"
"10814","LYNN MIN"
"10815","LYNN V WILLIAMS"
"10816","LYON & MARTIN MEDICAL ASSOCIATES, P.C."
"10817","LYON PRIMARY CARE, PLLC"
"10818","LYONS MEDICAL PC"
"10819","LYUDMILA CAVALIER PHYSICIAN PC"
"10820","LZ & MANHATTAN ACUPUNCTURE, P.C."
"10821","M & D MEDICAL , PC"
"10822","M & D PHARMACY LLC"
"10823","M & F PHARMACY INC.,"
"10824","M & G CARE INC"
"10825","M & L VISION CENTER INC."
"10826","M & N PARMACY CORP"
"10827","M & P PHARMACY L L C"
"10828","M & R MEDICAL SUPPLY CORP."
"10829","M AND B OPERATIONS LLC"
"10830","M B NEW BEGININGS"
"10831","M DENTAL CARE, P.C."
"10832","M DRUGS INC"
"10833","M GOLDIS MEDICAL PC"
"10834","M I H MENTAL HEALTH COUNSELOR, PC"
"10835","M J AKERMAN MD PLLC"
"10836","M J TRANS CORP"
"10837","M LISKER ACUPUNCTURE PC"
"10838","M M DENTAL PC"
"10839","M MICHAEL MD PC"
"10840","M SERVICES LLC"
"10841","M SWEID DDS PC"
"10842","M TALBOT OT PC"
"10843","M VALVO INC."
"10844","M,BASTAWROS,PHYSICIAN,P.C."
"10845","M. FREEMAN MEDICAL PRACTICE, P.C."
"10846","M. H. ALY, MD, P.C."
"10847","M. O. HEALTHCARE SERVICES"
"10848","M. RASHID CHAUDHRY MD PC"
"10849","M. Y. YOLANDA ENG, MD, PC"
"10850","M. ZAKIR SABRY, MD, PC"
"10851","M.A.G.A. MEDICAL CARE P.C."
"10852","M.B.DRUGS INC"
"10853","M.C. MEDICAL P.C"
"10854","M.E. MEDICAL, P.C."
"10855","M.G.K.S.C.Z. MAGNETIC RESONANCE IMAGING P.C."
"10856","M.ISLAND MEDICAL PC"
"10857","M.J.DETROYER NUTRITION P.C."
"10858","M.P.M CODING SERVICES"
"10859","M.U.F. MEDICAL SUPPLIES CORP."
"10860","M.Y. PHYSICAL THERAPY"
"10861","M&G MEDICAL PC"
"10862","M&H FAMILY HEALTHCARE, PLLC"
"10863","M&I PHARMACY, INC."
"10864","M&L VISION CENTER"
"10865","M&M DENTAL OFFICE,PC"
"10866","M&V PHARMACY INC."
"10867","M&Y MEDICAL, PC"
"10868","M2 MEDICAL COMMUNITY PRACTICE"
"10869","M2 MEDICAL COMMUNITY PRACTICE, P.C."
"10870","MA DENTAL PC"
"10871","MA MEDICAL MANAGEMENT, LLC"
"10872","MA SURGICAL SUPPLIES INC"
"10873","MA THERAPY LLC"
"10874","MAAN SALUJA INC"
"10875","MAASER CDPAP"
"10876","MAASER CORP"
"10877","MAAYAN KESHET MD PC"
"10878","MABEL SENIOR TRANSPORTATION INCORPORATED"
"10879","MACABEEA CORP"
"10880","MACE AVENUE MEDICAL PC"
"10881","MACHENEH MEDICAL"
"10882","MACK DERMATOLOGY, P.C."
"10883","MACON OPERATING LLC"
"10884","MACRENE ALEXIADES-ARMENAKAS MD PC"
"10885","MACROSCRIPTS INC"
"10886","MACULA EYE CARE OPHTHALMOLOGY PLLC"
"10887","MACULACARE, PLLC"
"10888","MADALINA M. MANEA DDS, P.C."
"10889","MADELINE BELKIN, LCSW"
"10890","MADELYN D. PULLMAN, MD, LLC"
"10891","MADGE DARGAN OT JANET KRZEMIENSKI OT PLLC"
"10892","MADHAV A GUDI, MD, PLLC"
"10893","MADIREDDY SUBBAREDDY MD PC"
"10894","MADISON ADULT CENTER"
"10895","MADISON AMBULATORY SURGERY CENTER"
"10896","MADISON ANESTHESIOLOGIST BILLING, INC"
"10897","MADISON AUDIOLOGY ASSOCIATES"
"10898","MADISON AVE SMILES DENTAL PC"
"10899","MADISON AVENUE DENTAL CARE PLLC"
"10900","MADISON AVENUE DENTAL STUDIO"
"10901","MADISON AVENUE DENTISTRY, PLLC"
"10902","MADISON AVENUE EMERGENCY MEDICINE PC"
"10903","MADISON AVENUE EYE CARE LTD."
"10904","MADISON AVENUE MRI PC"
"10905","MADISON AVENUE OPERATORY"
"10906","MADISON AVENUE OPTICAL"
"10907","MADISON AVENUE ORTHOPAEDIC ASSOCIATES PC"
"10908","MADISON AVENUE PHARMACY INC"
"10909","MADISON AVENUE PHYSICIANS, PC"
"10910","MADISON AVENUE UROLOGY, PC"
"10911","MADISON AVENUE WOMEN'S IMAGING, PC"
"10912","MADISON CARE"
"10913","MADISON CHEMIST INC"
"10914","MADISON DENTAL ARTS P C"
"10915","MADISON DENTAL ARTS PC"
"10916","MADISON DENTAL GROUP PC"
"10917","MADISON DENTISTRY, P.C."
"10918","MADISON DRUGS, INC."
"10919","MADISON ENT & FACIAL PLASTIC SURGERY"
"10920","MADISON MARRIAGE AND FAMILY THERAPY, PC"
"10921","MADISON MEDICAL PC"
"10922","MADISON MEDICAL PRACTICE P.C."
"10923","MADISON OCCUPATIONAL THERAPY, LLC"
"10924","MADISON OPHTHALMOLOGY PLLC"
"10925","MADISON OPTICAL INC."
"10926","MADISON PARK PHYSICAL THERAPY"
"10927","MADISON PEDIATRICS P.C."
"10928","MADISON PHYSICAL THERAPY"
"10929","MADISON PHYSICAL THERAPY AT BROOKLYN HEIGHTS PC"
"10930","MADISON PLASTIC SURGERY P.C"
"10931","MADISON RX PHARMACY INC."
"10932","MADISON SQUARE CHIROPRACTIC AND ACUPUNCTURE, PLLC"
"10933","MADISON SURGICAL ASSOCIATES"
"10934","MADISON SURGICAL OBS, LLC"
"10935","MAELEEN AMBULETTE TRANSPORT INC"
"10936","MAESTRO PHYSICAL THERAPY AND REHABILITATION, P.C."
"10937","MAG MEDICAL, PC"
"10938","MAGARET ULTRA"
"10939","MAGDI BEBAWI MD, PLLC"
"10940","MAGENHEIM CHIROPRACTIC PC"
"10941","MAGIC HANDS PHYSICAL THERAPY PLLC"
"10942","MAGIC HOME CARE LLC"
"10943","MAGIC HOME CARE, LLC"
"10944","MAGIC TOUCH DENTAL PC"
"10945","MAGIC TOUCH SOCIAL ADULT DAY INC"
"10946","MAGIC TOYS, INC."
"10947","MAGNA PHYSICAL THERAPY PC"
"10948","MAGNA REHAB PHYSICAL THERAPY PLLC"
"10949","MAGNAM PHARMACY INC"
"10950","MAGNEXX IMAGING MRI PC"
"10951","MAGNOLIA PHARMACY INC"
"10952","MAGNUM PHYSICAL THERAPY PC"
"10953","MAHA ALDOORI DENTISTRY, P.C."
"10954","MAHA AWIKEH, M.D. P.C."
"10955","MAHARLIKA PHYSICAL THERAPY PC"
"10956","MAHCEL REHAB PT PC"
"10957","MAHESHKUMAR K. SHAH"
"10958","MAIA BERGER, D.D.S. P.C."
"10959","MAIDEN LANE MEDICAL, PLLC"
"10960","MAIDEN LANE PODIATRY, PC"
"10961","MAIL MED CORP"
"10962","MAILIN MIMI LAI, D.D.S., P.C."
"10963","MAIMO PULMO AND SLEEP CARE FPP"
"10964","MAIMONADES MEDICAL CENTER"
"10965","MAIMONIDES CHILDRENS SERVICES"
"10966","MAIMONIDES COMMUNITY PHYSICIAN PRACTICE FPP"
"10967","MAIMONIDES DIVISION OF RADIATION ONCOLOGY, FPP"
"10968","MAIMONIDES HOSPITAL"
"10969","MAIMONIDES MED CTR-MMC OBGYN FPP"
"10970","MAIMONIDES MEDICAL CENTER - MAIMO CRITICARE FPP"
"10971","MAIMONIDES MEDICAL CENTER DIVISION OF OTOLARYNGOLOGY FPP"
"10972","MAIMONIDES MEDICAL CENTER-KINGS HWY"
"10973","MAIMONIDES MEDICAL CENTER-MMC MIDWIFERY"
"10974","MAIMONIDES MEDICAL CTR DEPARTMENT OF PEDIATRICS"
"10975","MAIMONIDES NURSERY FPP"
"10976","MAIMONIDES OB GYN"
"10977","MAIN FOOT AND ANKLE CLINIC LLC"
"10978","MAIN PHARMACY INC"
"10979","MAIN ST FOOTCARE, PLLC"
"10980","MAIO-THERAPY PHYSICAL THERAPY, PLLC"
"10981","MAIQUEL CARRASCO OBGYN PC"
"10982","MAITRI GROUP"
"10983","MAITRI LICENSED MENTAL HEALTH COUNSELING PLLC"
"10984","MAJESTIC TOUCH HOME CARE SERVICES"
"10985","MAJESTIC TOUCH HOME CARE SERVICES,INC"
"10986","MAJESTIC TRANSPORTATION,INC"
"10987","MAJID JAMALI, DMD, P.C."
"10988","MAJOR AMBULETTE CO"
"10989","MAJOR MEDICINE, PC"
"10990","MAKARIOUS HEALTH CORP"
"10991","MAKES SENSE OT SLP, PLLC"
"10992","MAKES SENSE OT ST PLLC"
"10993","MAKING MILESTONES"
"10994","MAKOTO IWAHARA, MD, PC"
"10995","MAKS DENTAL PLLC"
"10996","MAKSOUD RX CORP"
"10997","MALCOLM D REID"
"10998","MALCOLM PHARMACY INC"
"10999","MALCOLM X PHARMACY CORP"
"11000","MALESHOK INC"
"11001","MALIK DRUG CORP"
"11002","MALINDA K DUNN AGENCY"
"11003","MALKIE JACOB"
"11004","MALKIS CHIROPRACTIC HEALTH SERVICES PC"
"11005","MANAGED CARE TRANSPORATION LLC"
"11006","MANAV II INC"
"11007","MANDALA PSYCHOLOGICAL SERVICES, P.C."
"11008","MANDISA HALL"
"11009","MANER PRESCRIPTION CENTER INC"
"11010","MANGOOS PHYSICAL THERAPY P.C"
"11011","MANHATTAN ACUPUNCTURE WELLNESS PC"
"11012","MANHATTAN ADDICTION TREATMENT CENTER"
"11013","MANHATTAN ADVANCED MEDICAL PLLC"
"11014","MANHATTAN ALLERGY, IMMUNOLOGY & RHEUMATOLOGY, P.C."
"11015","MANHATTAN ALLERGY, IMMUNOLOGY & RHEUMATOLOGY, PLLC"
"11016","MANHATTAN ALLIED NETWORK CORPORATION"
"11017","MANHATTAN ANESTHESIOLOGY AND INTERVENTIONAL PAIN SPECIALISTS PL"
"11018","MANHATTAN AUDIO, INC."
"11019","MANHATTAN AUDIOLOGY PC"
"11020","MANHATTAN AVENUE MEDICAL PC"
"11021","MANHATTAN BEACH INT MED PC"
"11022","MANHATTAN BEACH MEDICAL.P.C."
"11023","MANHATTAN BEACH PHARMACY INC"
"11024","MANHATTAN BEHAVIORAL MEDICINE PLLC"
"11025","MANHATTAN BRIDGE ORTHODONTICS"
"11026","MANHATTAN CARDIAC ARRHYTHMIA CONSULTANTS P.C."
"11027","MANHATTAN CARDIAC MEDICAL PC"
"11028","MANHATTAN CARDIOLOGY ASSOCIATES, PC"
"11029","MANHATTAN CARDIOVASCULAR ASSOCIATES PC"
"11030","MANHATTAN CARDIOVASCULAR CARE"
"11031","MANHATTAN CARE PHYSICAL THERAPY P.C."
"11032","MANHATTAN CHINATOWN PHARMACY INC"
"11033","MANHATTAN CHIROPRACTIC P.C."
"11034","MANHATTAN COGNITIVE-BEHAVIORAL THERAPY/PSYCHOLOGY, PLLC"
"11035","MANHATTAN COLORECTAL SURGEONS"
"11036","MANHATTAN COLORECTAL SURGEONS LLC"
"11037","MANHATTAN COLORECTAL SURGICAL UNIT"
"11038","MANHATTAN COMPREHENSIVE EAR MEDICINE, PLLC"
"11039","MANHATTAN COSMETIC DENTAL P.C."
"11040","MANHATTAN DENTAL ASSOCIATES, LLP."
"11041","MANHATTAN DENTAL CARE"
"11042","MANHATTAN DENTAL ENTERPRISE, PLLC"
"11043","MANHATTAN DENTAL STUDIO"
"11044","MANHATTAN DENTISTRY COSMETY"
"11045","MANHATTAN DENTISTRY NYC PC"
"11046","MANHATTAN DERMATOLOGIC HEALTH, P.C."
"11047","MANHATTAN DERMATOLOGY AND COSMETICS PLLC"
"11048","MANHATTAN EAST ENDOSCOPY, P.C."
"11049","MANHATTAN EASTSIDE ORTHODONTICS"
"11050","MANHATTAN ENDOCRINOLOGY & METABOLISM PC"
"11051","MANHATTAN ENDOCRINOLOGY, PLLC"
"11052","MANHATTAN ENDOSCOPY CENTER LLC"
"11053","MANHATTAN ENDOSCOPY PLLC"
"11054","MANHATTAN EYEWORKS INC."
"11055","MANHATTAN FACIAL PLASTICS & RECONSTRUCTION"
"11056","MANHATTAN FACIAL SURGERY SUITES, PLLC"
"11057","MANHATTAN FAMILY MEDICINE, P.C."
"11058","MANHATTAN FAMILY PRACTICE MEDICAL PC"
"11059","MANHATTAN GASTROENTEROLOGY ASSOCIATES PC"
"11060","MANHATTAN GASTROENTEROLOGY P.C."
"11061","MANHATTAN GRAND OPTICAL CORP"
"11062","MANHATTAN HEALTH ASSOCIATES"
"11063","MANHATTAN HEMATOLOGY ONCOLOGY"
"11064","MANHATTAN HOME CARE LTD"
"11065","MANHATTAN IMAGING ASSOCIATES"
"11066","MANHATTAN INTEGRATED MEDICAL PC"
"11067","MANHATTAN INTERNAL MEDICINE ASSOCIATES"
"11068","MANHATTAN INTERNAL MEDICINE PLLC"
"11069","MANHATTAN INTERVENTIONAL RADIOLOGY"
"11070","MANHATTAN MAXILLOFACIAL SURGERY GROUP"
"11071","MANHATTAN MAXILLOFACIAL SURGERY, PLLC"
"11072","MANHATTAN MEDICAL BILLING"
"11073","MANHATTAN MEDICAL BLDG."
