"","before","after"
"9762","JUSTIN PHARMACY INC","JUSTIN PHARMACY INC"
"9763","JUSTIN R FAGAN DC, PC","JUSTIN R FAGAN DC, PC"
"9764","JUSTIN SCHUSSHEIM DDS PC","JUSTIN SCHUSSHEIM DDS PC"
"9765","JUSUF ZLATANIC MD PC","JUSUF ZLATANIC MD PC"
"9766","JVJ PHARMACY INC","JVJ PHARMACY INC"
"9767","JW CHIROPRACTIC PLLC","JW CHIROPRACTIC PLLC"
"9768","JWM MEDICAL PC","JWM MEDICAL PC"
"9769","JY ADULT SOCIAL DAY CARE SERVICE, INC.","JY ADULT SOCIAL DAY CARE SERVICE, INC."
"9770","JYMA INC.","JYMA INC."
"9771","JYOTI SRIVASTAVA DDS & ROBERT CASTRACANE DMD LLC","JYOTI SRIVASTAVA DDS & ROBERT CASTRACANE DMD LLC"
"9772","JZ OPTICAL EXPRESS INC","JZ OPTICAL EXPRESS INC"
"9773","K & G ULTRASOUND DIAGNOSTIC MEDICAL LABORATORY INC","K & G ULTRASOUND DIAGNOSTIC MEDICAL LABORATORY INC"
"9774","K & H DRUGS, INC","K & H DRUGS, INC"
"9775","K & K GRAND PARK LLC","K & K GRAND PARK LLC"
"9776","K & W PHARMACY, INC","K & W PHARMACY, INC"
"9777","K AND G PHARMACY","K AND G PHARMACY"
"9778","K AND R UNITED CORP","K AND R UNITED CORP"
"9779","K MEDICAL OFFICE PC","K MEDICAL OFFICE PC"
"9780","K. DIAMOND PHARMACY. INC","K. DIAMOND PHARMACY. INC"
"9781","K. WALDRON ENTERPRISES INC.","K. WALDRON ENTERPRISES INC."
"9782","K.C. CHANG,PHYSICIAN, P.C.","K.C. CHANG,PHYSICIAN, P.C."
"9783","K.I.S. PHARMACY, INC.","K.I.S. PHARMACY, INC."
"9784","K.S.PRAKASH PC","K.S.PRAKASH PC"
"9785","K&A PHARMACY GROUP INC.","K&A PHARMACY GROUP INC."
"9786","K&D DENTAL ASSOCIATES PLLC","K&D DENTAL ASSOCIATES PLLC"
"9787","K&K DENTAL PC","K&K DENTAL PC"
"9788","KABSIL CORPORATION","KABSIL CORPORATION"
"9789","KADMON CORPORATION, LLC","KADMON CORPORATION, LLC"
"9790","KAFKO, KAMINSKY, & KAUFMAN DDS, LLP","KAFKO, KAMINSKY, & KAUFMAN DDS, LLP"
"9791","KAHAN OCCUPATIONAL THERAPY SERVICES","KAHAN OCCUPATIONAL THERAPY SERVICES"
"9792","KAHLER CHIROPRACTIC, P.C.","KAHLER CHIROPRACTIC, P.C."
"9793","KAHN CHIROPRACTIC-CERTIFIED DIETITION NUTRITIONIST PC","KAHN CHIROPRACTIC-CERTIFIED DIETITION NUTRITIONIST PC"
"9794","KAHN CHIROPRACTOR-CERTIFIED DIETITIAN-NUTRITIONIST PC","KAHN CHIROPRACTOR-CERTIFIED DIETITIAN-NUTRITIONIST PC"
"9795","KAHN DERMATOLOGY, PLLC","KAHN DERMATOLOGY, PLLC"
"9796","KAIROS ACUPUNCTURE","KAIROS ACUPUNCTURE"
"9797","KAISER & KAISER, LCSW, P.C.","KAISER & KAISER, LCSW, P.C."
"9798","KAISER PODIATRY, PLLC","KAISER PODIATRY, PLLC"
"9799","KAKOSSIAN MEDICAL WOMAN CARE PC","KAKOSSIAN MEDICAL WOMAN CARE PC"
"9800","KALA PHARMACY INC.","KALA PHARMACY INC."
"9801","KALISTHENICS, INC.","KALISTHENICS, INC."
"9802","KALPANA ARYA-GUPTA PHYSICIAN P.C.","KALPANA ARYA-GUPTA PHYSICIAN P.C."
"9803","KAMAL RAMANI INTERNAL MEDICINE PC","KAMAL RAMANI INTERNAL MEDICINE PC"
"9804","KAMAL T. BUCHANAN OT PLLC","KAMAL T. BUCHANAN OT PLLC"
"9805","KAMAL T. BUCHANAN OT, PLLC","KAMAL T. BUCHANAN OT, PLLC"
"9806","KAMI M. ROBERTS","KAMI M. ROBERTS"
"9807","KAMRAN PHARMACY INC.","KAMRAN PHARMACY INC."
"9808","KAMRAN YAHODAEI MDPC","KAMRAN YAHODAEI MDPC"
"9809","KANNAYYA PHARMACY INC.","KANNAYYA PHARMACY INC."
"9810","KANTHARIA-SHAH CARDIOVASCULAR CONSULTANTS, PC","KANTHARIA-SHAH CARDIOVASCULAR CONSULTANTS, PC"
"9811","KAO PHYSICIAN MEDICAL PC","KAO PHYSICIAN MEDICAL PC"
"9812","KAP MEDICAL SUPPLY, INC.","KAP MEDICAL SUPPLY, INC."
"9813","KAPLAN & GOTTLIEB DC P.C","KAPLAN & GOTTLIEB DC P.C"
"9814","KAPLAN CONSULTING GROUP INC","KAPLAN CONSULTING GROUP INC"
"9815","KAPSON SENIOR QUARTERS CORP.","KAPSON SENIOR QUARTERS CORP."
"9816","KARAN JOHAR, MD, PLLC","KARAN JOHAR, MD, PLLC"
"9817","KARAT LIBERTY MEDICAL CARE PC","KARAT LIBERTY MEDICAL CARE PC"
"9818","KARAT MEDICAL PC","KARAT MEDICAL PC"
"9819","KAREN E SCHNEIDER MD PC","KAREN E SCHNEIDER MD PC"
"9820","KAREN F. BRODMAN, M.D., PLLC","KAREN F. BRODMAN, M.D., PLLC"
"9821","KAREN GELDER PHD PSYCHOLOGIST PLLC","KAREN GELDER PHD PSYCHOLOGIST PLLC"
"9822","KAREN HORNEY CLINIC, INC.","KAREN HORNEY CLINIC, INC."
"9823","KAREN LANDMANN, LCSW, PC","KAREN LANDMANN, LCSW, PC"
"9824","KAREN LITZY PHYSICAL THERAPY, PLLC","KAREN LITZY PHYSICAL THERAPY, PLLC"
"9825","KAREN LITZY PHYSICAL THERAPY,P.C.","KAREN LITZY PHYSICAL THERAPY,P.C."
"9826","KAREN SCHNEIDER MD, PC","KAREN SCHNEIDER MD, PC"
"9827","KAREN SCHNEIDER, M.D., P.C.","KAREN SCHNEIDER, M.D., P.C."
"9828","KAREN WEISS, PT, LLC","KAREN WEISS, PT, LLC"
"9829","KARIN ROACH INC","KARIN ROACH INC"
"9830","KARMA CARE INC","KARMA CARE INC"
"9831","KARNABY CHEMIST INC.","KARNABY CHEMIST INC."
"9832","KARNABY DRUGS 2 LLC","KARNABY DRUGS 2 LLC"
"9833","KARPATHIA HAND THERAPY, OT, PC","KARPATHIA HAND THERAPY, OT, PC"
"9834","KARPE & PASSINI, LCSW, PC","KARPE & PASSINI, LCSW, PC"
"9835","KARPINSKI AMBULATORY SURGERY UNIT","KARPINSKI AMBULATORY SURGERY UNIT"
"9836","KASEMAN FAMILY CHIROPRACTIC","KASEMAN FAMILY CHIROPRACTIC"
"9837","KATELYN BROTHERS, SPEECH-LANGUAGE PATHOLOGIST, PLLC","KATELYN BROTHERS, SPEECH-LANGUAGE PATHOLOGIST, PLLC"
"9838","KATERI RESIDENCE","KATERI RESIDENCE"
"9839","KATHERINE MAZZA PSYCHOTHERAPY","KATHERINE MAZZA PSYCHOTHERAPY"
"9840","KATHLEEN BROWN MCNALLY, LCSW, PC","KATHLEEN BROWN MCNALLY, LCSW, PC"
"9841","KATHLEEN O CONNOR MD","KATHLEEN O CONNOR MD"
"9842","KATHLEEN VINE MD PC","KATHLEEN VINE MD PC"
"9843","KATHY PLESSER MD PLLC","KATHY PLESSER MD PLLC"
"9844","KATHY YOCUM ACUPUNCTURE","KATHY YOCUM ACUPUNCTURE"
"9845","KATZ7 MD, LLC","KATZ7 MD, LLC"
"9846","KAUFMAN AMBULATORY SURGERY CENTER","KAUFMAN AMBULATORY SURGERY CENTER"
"9847","KAUFMAN SURGICAL PC","KAUFMAN SURGICAL PC"
"9848","KAUFMANN & KAUFMANN, PHDS, LLP","KAUFMANN & KAUFMANN, PHDS, LLP"
"9849","KAVITA SHARMA MD PLLC","KAVITA SHARMA MD PLLC"
"9850","KAY RAY ENT INC","KAY RAY ENT INC"
"9851","KAYLA CYNAMON PTPC","KAYLA CYNAMON PTPC"
"9852","KBARLOW INC","KBARLOW INC"
"9853","KBJ MEDICAL PRACTICE PC","KBJ MEDICAL PRACTICE PC"
"9854","KCAID PHARMACY INC","KCAID PHARMACY INC"
"9855","KCL THERAPEUTIC SERVICES, LLC","KCL THERAPEUTIC SERVICES, LLC"
"9856","KCNY PLASTIC SURGERY, LLC","KCNY PLASTIC SURGERY, LLC"
"9857","KEANES FAMILY PHARMACY INC","KEANES FAMILY PHARMACY INC"
"9858","KEAP DRUGS INC.","KEAP DRUGS INC."
"9859","KEATLEY MNT","KEATLEY MNT"
"9860","KEEP CHILDREN MOVING","KEEP CHILDREN MOVING"
"9861","KEILI-LUCY LUKBAN & ASSOCIATES INC.","KEILI-LUCY LUKBAN & ASSOCIATES INC."
"9862","KEITH & DEAN CHIROPRACTIC CARE PLLC","KEITH & DEAN CHIROPRACTIC CARE PLLC"
"9863","KEITH A MOBILIA & JANET CARNEY DPM PC","KEITH A MOBILIA & JANET CARNEY DPM PC"
"9864","KEITH BERKOWITZ M.D. P.C.","KEITH BERKOWITZ M.D. P.C."
"9865","KEITH C CHANG MD PLLC","KEITH C CHANG MD PLLC"
"9866","KEITH M. BLECHMAN, M.D., P.C.","KEITH M. BLECHMAN, M.D., P.C."
"9867","KEITH MOBILIA,DPM.PC","KEITH MOBILIA,DPM.PC"
"9868","KEITH P, JOHNSON, M.D., PLLC","KEITH P, JOHNSON, M.D., PLLC"
"9869","KEITH R. BRUNCKHORST M.D. P.C.","KEITH R. BRUNCKHORST M.D. P.C."
"9870","KEITH RYAN JACKSON MD PC","KEITH RYAN JACKSON MD PC"
"9871","KEITH SILLER MD","KEITH SILLER MD"
"9872","KELIN MEDICAL PC","KELIN MEDICAL PC"
"9873","KELLER CHIROPRACTIC OF CROWN HEIGHTS LLC.","KELLER CHIROPRACTIC OF CROWN HEIGHTS LLC."
"9874","KELLER SNF LLC","KELLER SNF LLC"
"9875","KELLEY HOANG","KELLEY HOANG"
"9876","KELLY'S FASHION OPTICAL","KELLY'S FASHION OPTICAL"
"9877","KEMEKO FAMILY SERVICES, INC.","KEMEKO FAMILY SERVICES, INC."
"9878","KEN MOADEL M.D,P.C.","KEN MOADEL M.D,P.C."
"9879","KENBAR ENTERPRIZES INC","KENBAR ENTERPRIZES INC"
"9880","KENDALL STEWART DPM, PC","KENDALL STEWART DPM, PC"
"9881","KENNETH A EGOL","KENNETH A EGOL"
"9882","KENNETH ALPER MD PC","KENNETH ALPER MD PC"
"9883","KENNETH B CHAPMAN MD PLLC","KENNETH B CHAPMAN MD PLLC"
"9884","KENNETH C VITALE MD, P.C.","KENNETH C VITALE MD, P.C."
"9885","KENNETH C. TAM, M.D., F.A.C.C., P.C.","KENNETH C. TAM, M.D., F.A.C.C., P.C."
"9886","KENNETH H TREITEL,DDS AND JOEL C GREEN, DDS, PC","KENNETH H TREITEL,DDS AND JOEL C GREEN, DDS, PC"
"9887","KENNETH HOROWITZ OD","KENNETH HOROWITZ OD"
"9888","KENNETH J WOLF MD PC","KENNETH J WOLF MD PC"
"9889","KENNETH L SCHOEN PC","KENNETH L SCHOEN PC"
"9890","KENNETH M. ROSE, M.D.,","KENNETH M. ROSE, M.D.,"
"9891","KENNETH M. ROSE, M.D., PLLC","KENNETH M. ROSE, M.D., PLLC"
"9892","KENNETH MOSKOWITZ DPM","KENNETH MOSKOWITZ DPM"
"9893","KENNETH P. MUELLER, PHD","KENNETH P. MUELLER, PHD"
"9894","KENNETH P. SCILEPPI, MD, PC","KENNETH P. SCILEPPI, MD, PC"
"9895","KENNETH W. ASCHHEIM DDS AND YAKIR ARTEAGA, DDS PC","KENNETH W. ASCHHEIM DDS AND YAKIR ARTEAGA, DDS PC"
"9896","KENNETH WINARICK PH.D.P.C.","KENNETH WINARICK PH.D.P.C."
"9897","KENSINGTON DENTAL ASSOCIATES PC","KENSINGTON DENTAL ASSOCIATES PC"
"9898","KENSINGTON DENTAL PC","KENSINGTON DENTAL PC"
"9899","KENSINGTON MEDICAL CARE P.C.","KENSINGTON MEDICAL CARE P.C."
"9900","KENSINGTON PHARMACY INC","KENSINGTON PHARMACY INC"
"9901","KENSINGTON RADIOLOGY GROUP PC","KENSINGTON RADIOLOGY GROUP PC"
"9902","KENTON NURSING & REHABILITATION CENTER LLC","KENTON NURSING & REHABILITATION CENTER LLC"
"9903","KERI PETERSON MD PC","KERI PETERSON MD PC"
"9904","KERIS DERMATOLOGY ,PLLC","KERIS DERMATOLOGY ,PLLC"
"9905","KERIS LASER AND DERMATOLOGIC SURGERY, PLLC","KERIS LASER AND DERMATOLOGIC SURGERY, PLLC"
"9906","KERO TRANSPORTATION INC.,","KERO TRANSPORTATION INC.,"
"9907","KESELMAN PODIATRY PC","KESELMAN PODIATRY PC"
"9908","KESER NURSING AND REHABILITATION CENTER INC.","KESER NURSING AND REHABILITATION CENTER INC."
"9909","KESHES INC.","KESHES INC."
"9910","KETAN D VORA DO PC","KETAN D VORA DO PC"
"9911","KETLY MICHEL, MD, P.C.","KETLY MICHEL, MD, P.C."
"9912","KEVIN & MILTON PHARMACY INC","KEVIN & MILTON PHARMACY INC"
"9913","KEVIN BURKE INC","KEVIN BURKE INC"
"9914","KEVIN E. SMITH DDS PC","KEVIN E. SMITH DDS PC"
"9915","KEVIN GUO, MEDICAL PC","KEVIN GUO, MEDICAL PC"
"9916","KEVIN H WEINER, MD, PC","KEVIN H WEINER, MD, PC"
"9917","KEVIN J. ARMINGTON, M.D., P.C.","KEVIN J. ARMINGTON, M.D., P.C."
"9918","KEVIN L CINTRON RD LLC","KEVIN L CINTRON RD LLC"
"9919","KEVIN M TROY MD PC","KEVIN M TROY MD PC"
"9920","KEVIN N T LIN, MD., P.C.","KEVIN N T LIN, MD., P.C."
"9921","KEVIN P. MORRISSEY MD PC","KEVIN P. MORRISSEY MD PC"
"9922","KEVIN S. MYERS, MD, P.C.","KEVIN S. MYERS, MD, P.C."
"9923","KEVIN WEAVER PTPC","KEVIN WEAVER PTPC"
"9924","KEW GARDENS DIALYSIS CENTER","KEW GARDENS DIALYSIS CENTER"
"9925","KEY AMBULLETTE SERVICE INC.","KEY AMBULLETTE SERVICE INC."
"9926","KEY INTERESTS INC","KEY INTERESTS INC"
"9927","KEY TO LIFE ADULT DAYCARE, INC.","KEY TO LIFE ADULT DAYCARE, INC."
"9928","KEYSTONE PODIATRY","KEYSTONE PODIATRY"
"9929","KEZMED MEDICAL PC","KEZMED MEDICAL PC"
"9930","KFG OPERATING I, LLC","KFG OPERATING I, LLC"
"9931","KFG OPERATING TWO, LLC","KFG OPERATING TWO, LLC"
"9932","KFPA INC","KFPA INC"
"9933","KG HOLLYWOOD SMILE DENTAL, PC","KG HOLLYWOOD SMILE DENTAL, PC"
"9934","KHAIT MEDICAL CARE, P.C.","KHAIT MEDICAL CARE, P.C."
"9935","KHALID OMAR DAR MEDICAL, P.C.","KHALID OMAR DAR MEDICAL, P.C."
"9936","KHELLY (NY) INC","KHELLY (NY) INC"
"9937","KHELLY NY II INC.","KHELLY NY II INC."
"9938","KHH EMERGENCY MEDICINE","KHH EMERGENCY MEDICINE"
"9939","KHOURY MEDICAL CARE PC","KHOURY MEDICAL CARE PC"
"9940","KIDCARE ASSOCIATES, INC.","KIDCARE ASSOCIATES, INC."
"9941","KIDDIE CITY ABA CENTER","KIDDIE CITY ABA CENTER"
"9942","KIDI-SPLINT, INC","KIDI-SPLINT, INC"
"9943","KIDNEY AND HYPERTENSION MEDICINE, P.C.","KIDNEY AND HYPERTENSION MEDICINE, P.C."
"9944","KIDNEY CARE ASSOCIATES, PLLC","KIDNEY CARE ASSOCIATES, PLLC"
"9945","KIDNEY HYPERTENSION SPECIALISTS OF NY PC","KIDNEY HYPERTENSION SPECIALISTS OF NY PC"
"9946","KIDNEY MEDICAL ASSOCIATES PLLC","KIDNEY MEDICAL ASSOCIATES PLLC"
"9947","KIDS DENTAL","KIDS DENTAL"
"9948","KIDS FIRST E.I. INC.","KIDS FIRST E.I. INC."
"9949","KIDS GROWTH CORP","KIDS GROWTH CORP"
"9950","KIDS IN MOTION OT, PLLC","KIDS IN MOTION OT, PLLC"
"9951","KIDS IN SHAPE PHYSICAL THERAPY LLC","KIDS IN SHAPE PHYSICAL THERAPY LLC"
"9952","KIDS OF NEW YORK APPLIED BEHAVIOR ANALYSIS, PLLC","KIDS OF NEW YORK APPLIED BEHAVIOR ANALYSIS, PLLC"
"9953","KIDS ON THE MOVE OCCUPATIONAL THERAPY, PLLC","KIDS ON THE MOVE OCCUPATIONAL THERAPY, PLLC"
"9954","KIDS UNLIMITED PLLC","KIDS UNLIMITED PLLC"
"9955","KIDS WEIGHT DOWN PROGRAM","KIDS WEIGHT DOWN PROGRAM"
"9956","KIDSPLORATION","KIDSPLORATION"
"9957","KIDZ CHOICE SERVICES, INC.","KIDZ CHOICE SERVICES, INC."
"9958","KIDZ DISCOVERY INC","KIDZ DISCOVERY INC"
"9959","KIM SING LO, D.O., P.C.","KIM SING LO, D.O., P.C."
"9960","KIMATHI BODYWORK","KIMATHI BODYWORK"
"9961","KIMBERCOY EARLY INTERVENTION SERVICES","KIMBERCOY EARLY INTERVENTION SERVICES"
"9962","KIMERLING OPTICAL LTD","KIMERLING OPTICAL LTD"
"9963","KINDER PLUS CORP","KINDER PLUS CORP"
"9964","KINDERCARE PEDIATRICS LLP","KINDERCARE PEDIATRICS LLP"
"9965","KINDEREE FAMILY DENTISTRY","KINDEREE FAMILY DENTISTRY"
"9966","KINDERKARE","KINDERKARE"
"9967","KINDRED SPIRITS OT PLLC","KINDRED SPIRITS OT PLLC"
"9968","KINEMATIC PT PC","KINEMATIC PT PC"
"9969","KINETIC PHARMACY INC.","KINETIC PHARMACY INC."
"9970","KINETIC SPORTS PHYSICAL THERAPY P.C.","KINETIC SPORTS PHYSICAL THERAPY P.C."
"9971","KINETICS PHYSICAL THERAPY PC","KINETICS PHYSICAL THERAPY PC"
"9972","KING COUNTY HOSPITAL CENTER","KING COUNTY HOSPITAL CENTER"
"9973","KING DAVID CENTER FOR NURSING AND REHABILITATION ADHC","KING DAVID CENTER FOR NURSING AND REHABILITATION ADHC"
"9974","KINGDOM RX CORP","KINGDOM RX CORP"
"9975","KINGS 7TH AVE PHARMACY INC","KINGS 7TH AVE PHARMACY INC"
"9976","KINGS BAY CHEMISTS INC","KINGS BAY CHEMISTS INC"
"9977","KINGS BAY MEDICAL HEALTH P.C.","KINGS BAY MEDICAL HEALTH P.C."
"9978","KINGS BAY PHARMACY","KINGS BAY PHARMACY"
"9979","KINGS BRONX, INC","KINGS BRONX, INC"
"9980","KINGS CARE PHARMACY AND STORE INC.","KINGS CARE PHARMACY AND STORE INC."
"9981","KINGS CHIROPRACTIC PC","KINGS CHIROPRACTIC PC"
"9982","KINGS COUNTY INFECTIOUS DISEASE P.C","KINGS COUNTY INFECTIOUS DISEASE P.C"
"9983","KINGS COUNTY LAB SERVICES, INC","KINGS COUNTY LAB SERVICES, INC"
"9984","KINGS COUNTY MEDICAL SUPPLY INC.","KINGS COUNTY MEDICAL SUPPLY INC."
"9985","KINGS COUNTY PLASTIC SURGERY SERVICES, P.C.","KINGS COUNTY PLASTIC SURGERY SERVICES, P.C."
"9986","KINGS COURT DRUGS","KINGS COURT DRUGS"
"9987","KINGS DAY CARE, LLC","KINGS DAY CARE, LLC"
"9988","KINGS DENTAL PC","KINGS DENTAL PC"
"9989","KINGS DENTISTRY PC","KINGS DENTISTRY PC"
"9990","KINGS DRUG & SURGICAL CORP","KINGS DRUG & SURGICAL CORP"
"9991","KINGS EYEWEAR INC","KINGS EYEWEAR INC"
"9992","KINGS HARBOR HEALTH SERVICES LLC","KINGS HARBOR HEALTH SERVICES LLC"
"9993","KINGS HIGHWAY BEST MEDICAL PC","KINGS HIGHWAY BEST MEDICAL PC"
"9994","KINGS HIGHWAY CHEMISTS INC","KINGS HIGHWAY CHEMISTS INC"
"9995","KINGS HIGHWAY DIV HOUSE PHYSICIANS","KINGS HIGHWAY DIV HOUSE PHYSICIANS"
"9996","KINGS HIGHWAY MEDICAL PC","KINGS HIGHWAY MEDICAL PC"
"9997","KINGS HIGHWAY OPTICAL CORP.","KINGS HIGHWAY OPTICAL CORP."
"9998","KINGS HIGHWAY ORAL & MAXILLOFACIAL SURGERY P.C.","KINGS HIGHWAY ORAL & MAXILLOFACIAL SURGERY P.C."
"9999","KINGS HIGHWAY ORTHOPEDIC ASSOC PC","KINGS HIGHWAY ORTHOPEDIC ASSOC PC"
"10000","KINGS HIGHWAY PHYSICAL THERAPY PC","KINGS HIGHWAY PHYSICAL THERAPY PC"
"10001","KINGS HIGHWAY PODIATRY","KINGS HIGHWAY PODIATRY"
"10002","KINGS HIGHWAY PODIATRY PC","KINGS HIGHWAY PODIATRY PC"
"10003","KINGS HIGHWAY VISION EXPRESS, LLC","KINGS HIGHWAY VISION EXPRESS, LLC"
"10004","KINGS HIGHWAY WOMENS CARE","KINGS HIGHWAY WOMENS CARE"
"10005","KINGS KEMIST INC","KINGS KEMIST INC"
"10006","KINGS MEDICAL CARE, P.C.","KINGS MEDICAL CARE, P.C."
"10007","KINGS MEDICAL FAMILY PRACTICE PC","KINGS MEDICAL FAMILY PRACTICE PC"
"10008","KINGS MEDICAL PC","KINGS MEDICAL PC"
"10009","KINGS MEDICAL SERVICES PC","KINGS MEDICAL SERVICES PC"
"10010","KINGS MEDICAL SUITE, PC","KINGS MEDICAL SUITE, PC"
"10011","KINGS NEUROLOGY, PC","KINGS NEUROLOGY, PC"
"10012","KINGS PARK SLOPE INC","KINGS PARK SLOPE INC"
"10013","KINGS PHARMACY INC","KINGS PHARMACY INC"
"10014","KINGS PHYSICIAN SERVICES, PC","KINGS PHYSICIAN SERVICES, PC"
"10015","KINGS PLAZA DENTAL PC","KINGS PLAZA DENTAL PC"
"10016","KINGS PLAZA FOOT CARE, PC","KINGS PLAZA FOOT CARE, PC"
"10017","KINGS PULMONARY ASSOCIATES, PC","KINGS PULMONARY ASSOCIATES, PC"
"10018","KINGS SMILE DENTAL PC","KINGS SMILE DENTAL PC"
"10019","KINGS SOCIAL DAY CARE INC.","KINGS SOCIAL DAY CARE INC."
"10020","KINGS THIRD AVENUE PHARMACY INC","KINGS THIRD AVENUE PHARMACY INC"
"10021","KINGS TRIBECA PHAMACY INC","KINGS TRIBECA PHAMACY INC"
"10022","KINGS TRIBECA PHARMACY INC","KINGS TRIBECA PHARMACY INC"
"10023","KINGS VISTASITE EYECARE INC.","KINGS VISTASITE EYECARE INC."
"10024","KINGS-THRIFTWAY DRUGS, INC.","KINGS-THRIFTWAY DRUGS, INC."
"10025","KINGSBAY CAR SERVICE, INC.","KINGSBAY CAR SERVICE, INC."
"10026","KINGSBAY YM-YWHA","KINGSBAY YM-YWHA"
"10027","KINGSBORO ADDICTION TREATMENT CENTER","KINGSBORO ADDICTION TREATMENT CENTER"
"10028","KINGSBORO VISION INC.","KINGSBORO VISION INC."
"10029","KINGSBRIDGE ADULT DAY CARE LLC","KINGSBRIDGE ADULT DAY CARE LLC"
"10030","KINGSBRIDGE COMMUNITY MEDICAL PC","KINGSBRIDGE COMMUNITY MEDICAL PC"
"10031","KINGSBRIDGE HEIGHTS CARE CTR INC.","KINGSBRIDGE HEIGHTS CARE CTR INC."
"10032","KINGSBRIDGE HEIGHTS LTHHCP","KINGSBRIDGE HEIGHTS LTHHCP"
"10033","KINGSBRIDGE HOME HEALTH SERVICES","KINGSBRIDGE HOME HEALTH SERVICES"
"10034","KINGSBROOK MEDICAL ASSOCIATES, PC","KINGSBROOK MEDICAL ASSOCIATES, PC"
"10035","KINGSBROOK PRACTICE PLAN","KINGSBROOK PRACTICE PLAN"
"10036","KINGSCROSS CHILDREN THERAPY AND AUTISM SERVICES","KINGSCROSS CHILDREN THERAPY AND AUTISM SERVICES"
"10037","KINGSTON DENTAL PC","KINGSTON DENTAL PC"
"10038","KINGSTON PHARMACY INC","KINGSTON PHARMACY INC"
"10039","KINGSWAY ANESTHESIA PC","KINGSWAY ANESTHESIA PC"
"10040","KINGSWAY CAR & LIMO SVC INC","KINGSWAY CAR & LIMO SVC INC"
"10041","KINGSWAY INTERNAL MEDICINE","KINGSWAY INTERNAL MEDICINE"
"10042","KINGSWAY MEDICAL, PC","KINGSWAY MEDICAL, PC"
"10043","KINGSWAY ORTHOPEDIC PROFESSIONAL CORPORATION","KINGSWAY ORTHOPEDIC PROFESSIONAL CORPORATION"
"10044","KINGSWAY PHARMACY CORP","KINGSWAY PHARMACY CORP"
"10045","KINI MD LLC","KINI MD LLC"
"10046","KINJAL PATEL MD PC","KINJAL PATEL MD PC"
"10047","KINNING PHARMACY CORP","KINNING PHARMACY CORP"
"10048","KINWELL MEDICAL SERVICES, PC","KINWELL MEDICAL SERVICES, PC"
"10049","KIO MEDICAL CARE PC","KIO MEDICAL CARE PC"
"10050","KIP ENTERPRISE, INC.","KIP ENTERPRISE, INC."
"10051","KIP W DOLPHIN MD PLLC","KIP W DOLPHIN MD PLLC"
"10052","KIPS BAY ANESTHESIA PC","KIPS BAY ANESTHESIA PC"
"10053","KIPS BAY DENTAL PRACTICE, P.C.","KIPS BAY DENTAL PRACTICE, P.C."
"10054","KIPS BAY ENDOSCOPY CENTER, LLC","KIPS BAY ENDOSCOPY CENTER, LLC"
"10055","KIPS BAY GYNECOLOGY LLC","KIPS BAY GYNECOLOGY LLC"
"10056","KIPS BAY OPTICAL LTD","KIPS BAY OPTICAL LTD"
"10057","KIRA MANUSIS MD, PLLC","KIRA MANUSIS MD, PLLC"
"10058","KIRA MEDICAL, PLLC","KIRA MEDICAL, PLLC"
"10059","KIRSTEN CULLEN SHARMA","KIRSTEN CULLEN SHARMA"
"10060","KIS PHARMACY INC.","KIS PHARMACY INC."
"10061","KISI CORP","KISI CORP"
"10062","KISS CAR SERVICE INC","KISS CAR SERVICE INC"
"10063","KISSENA HEALTH PHARMACY INC","KISSENA HEALTH PHARMACY INC"
"10064","KIWITZ CAR SERVICE INC.","KIWITZ CAR SERVICE INC."
"10065","KJ TRANSPORTATION C","KJ TRANSPORTATION C"
"10066","KJMC CERTIFIED HOME HEALTH AGENCY","KJMC CERTIFIED HOME HEALTH AGENCY"
"10067","KK PHARMACY INC.","KK PHARMACY INC."
"10068","KKB MEDICAL, P.C.","KKB MEDICAL, P.C."
"10069","KLAPPER & DELUCA PULMONARY ASSOCIATES, P.C.","KLAPPER & DELUCA PULMONARY ASSOCIATES, P.C."
"10070","KLAUDIYA RUVINSKY PHYSICIAN, P.C.","KLAUDIYA RUVINSKY PHYSICIAN, P.C."
"10071","KLEIN AND BIRNS, PLLC","KLEIN AND BIRNS, PLLC"
"10072","KLEIN CHIROPRACTIC ASSOCIATES, PC","KLEIN CHIROPRACTIC ASSOCIATES, PC"
"10073","KLEIN DENTAL CARE, PC","KLEIN DENTAL CARE, PC"
"10074","KLEIN&KHOOBYAR,DPM,P.C.","KLEIN&KHOOBYAR,DPM,P.C."
"10075","KLEINS VISION CENTER LTD","KLEINS VISION CENTER LTD"
"10076","KLEYDMAN DERMATOLOGY, PLLC","KLEYDMAN DERMATOLOGY, PLLC"
"10077","KLEYFELDS OT WELLNESS PC","KLEYFELDS OT WELLNESS PC"
"10078","KLIOT OBSETRICTIS & GYNECOLOGY PC","KLIOT OBSETRICTIS & GYNECOLOGY PC"
"10079","KLODIANA F. MARGARITI, D.D.S., P.C.","KLODIANA F. MARGARITI, D.D.S., P.C."
"10080","KLY OPTICAL INC.","KLY OPTICAL INC."
"10081","KMDS INC","KMDS INC"
"10082","KML MEDICAL ASSOCIATES, P.C.","KML MEDICAL ASSOCIATES, P.C."
"10083","KMN PHARMACY CORP","KMN PHARMACY CORP"
"10084","KMP MEDICAL PLLC","KMP MEDICAL PLLC"
"10085","KNAPP NUTRITIONAL & PHARMACY INC","KNAPP NUTRITIONAL & PHARMACY INC"
